id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status
21054_0900_00001;21054_0900;1;;Chemin de Champagne;21200;21054;Beaune;;;840633.12;6659363.21;4.851608;47.019658;entrée;;;BEAUNE;CHEMIN DE CHAMPAGNE;commune;commune;1;21054000DV0337;d63a830b-41b6-4679-a80a-3a00fc20a49f;d5d438fa-d8fc-48ca-99a1-65712e6f2258;be5af6b6-d2a6-451d-a94f-baf6604cc953;exist
21054_0870_00028_t;21054_0870;28;t;Route de Challanges;21200;21054;Beaune;;;840556.71;6659102.67;4.850522;47.017329;entrée;;;BEAUNE;ROUTE DE CHALLANGES;commune;commune;1;21054000EC0046;d6401dad-fb08-41b6-839a-7680b6308ce4;823262d0-d560-4ea4-b0b0-662592e968d3;be5af6b6-d2a6-451d-a94f-baf6604cc953;exist
21054_1341_00217;21054_1341;217;;Rue des Crais;21200;21054;Beaune;;;842090.78;6658731.97;4.870596;47.013667;entrée;;;BEAUNE;RUE DES CRAIS;commune;commune;0;21054000DW0155;d64565ea-4435-4bb0-b6c9-08d852092cd8;2d937147-3ad3-43f6-ac10-3a1da6448bd9;be5af6b6-d2a6-451d-a94f-baf6604cc953;add
21054_2881_00022;21054_2881;22;;Rue de la Meille;21200;21054;Beaune;;;838581.88;6658743.07;4.824422;47.014506;entrée;;;BEAUNE;RUE DE LA MEILLE;commune;commune;1;21054000DH0255;d648fd33-3373-4288-9678-7a350d8da91b;e58ef5e2-c6ff-410c-b59f-1f9ece74a753;be5af6b6-d2a6-451d-a94f-baf6604cc953;exist
21054_3900_00008;21054_3900;8;;Rue Richard;21200;21054;Beaune;;;840374.1;6659888.76;4.848361;47.024443;segment;;;BEAUNE;RUE RICHARD;commune;commune;0;21054000DT0012;d6551db9-5eae-4f9e-9f82-7c8349b16896;fba666dc-ce68-4e92-ad45-563613622841;be5af6b6-d2a6-451d-a94f-baf6604cc953;add
21054_1370_00159_d;21054_1370;159;d;Route de Dijon;21200;21054;Beaune;;;840155.09;6661327.5;4.845921;47.037439;entrée;;;BEAUNE;ROUTE DE DIJON;commune;commune;0;21054000BZ0035;d661a596-865d-4596-b55c-b2718e9dfbd3;4cf3f8de-82e5-40a0-8d15-4f3b6cd83298;be5af6b6-d2a6-451d-a94f-baf6604cc953;add
21054_2480_00015_bis;21054_2480;15;bis;Rue de Lorraine;21200;21054;Beaune;;;839628.99;6659939.69;4.838569;47.025058;entrée;;;BEAUNE;RUE DE LORRAINE;commune;commune;0;;d6641d63-f776-419d-ae92-ed273c10fc69;8187c02c-9ebe-4295-8d01-89eb3a17ab78;be5af6b6-d2a6-451d-a94f-baf6604cc953;missing
21054_1310_00001_a;21054_1310;1;a;Rue du Colonel de Grancey;21200;21054;Beaune;;;840109.48;6660022.55;4.844919;47.025703;segment;;;BEAUNE;RUE DU COLONEL DE GRANCEY;commune;commune;0;;d667a0f1-18c4-4008-a459-e37233ca89c6;8d1104df-8ca7-42d4-83b2-ba75d46b7f98;be5af6b6-d2a6-451d-a94f-baf6604cc953;missing
21054_1130_00006;21054_1130;6;;Rue de Chevignerot;21200;21054;Beaune;;;840391.31;6659592.19;4.848496;47.02177;entrée;;;BEAUNE;RUE DE CHEVIGNEROT;commune;commune;1;21054000DV0060;d66b7e87-eb1b-4c3f-b18f-ad8b3985055c;89f35958-aa34-4638-bba7-1401df70e0f2;be5af6b6-d2a6-451d-a94f-baf6604cc953;exist
21054_2315_00002;21054_2315;2;;Rue Joseph Delissey;21200;21054;Beaune;;;839577.78;6658787.94;4.837542;47.014702;entrée;;;BEAUNE;RUE JOSEPH DELISSEY;commune;commune;0;;d66b801f-213d-47ee-b451-5ee9aaab037d;2d968bee-80f6-4617-b44e-4a150b1dae25;be5af6b6-d2a6-451d-a94f-baf6604cc953;missing
21054_1459_00006;21054_1459;6;;Impasse des Echaliers;21200;21054;Beaune;;;840648.58;6659138.15;4.851742;47.017629;entrée;;;BEAUNE;IMPASSE DES ECHALIERS;commune;commune;1;21054000EC0056;d66cba28-696f-4fc9-af5e-1980986eb4ca;5716adb5-d71e-491e-8be2-52f79f11ef24;be5af6b6-d2a6-451d-a94f-baf6604cc953;exist
21054_1708_00014_bis;21054_1708;14;bis;Rue du Faubourg Saint-martin;21200;21054;Beaune;;;839213.9;6660069.91;4.833145;47.026317;segment;;;BEAUNE;RUE DU FAUBOURG SAINT MARTIN;commune;commune;0;21054000AT0650;d67779e0-4377-4df9-abfa-5ac6326e0000;44827fd5-1f37-4110-bec8-3ec26f024638;be5af6b6-d2a6-451d-a94f-baf6604cc953;add
21054_rgf2xs_00001;;1;;Parking Lorraine;21200;21054;Beaune;;;839605.3;6660216.55;4.838342;47.027555;entrée;;;BEAUNE;PARKING LORRAINE;commune;commune;1;;d6869421-a906-4a11-a598-8dc100891f64;89b45464-baa5-4154-b43c-1bb014e7059c;be5af6b6-d2a6-451d-a94f-baf6604cc953;missing
21054_1380_00018;21054_1380;18;;Rue du 19 Mars;21200;21054;Beaune;;;839112.51;6661338.88;4.832198;47.03776;entrée;;;BEAUNE;RUE DU 19 MARS;commune;commune;0;21054000BY0081;d687ed8f-a5e6-4e47-ac73-235fe8f60fbb;bb9d8a8b-4818-458b-90af-f3277cfd6bc8;be5af6b6-d2a6-451d-a94f-baf6604cc953;exist
21054_1830_00005;21054_1830;5;;Place Général Leclerc;21200;21054;Beaune;;;839464.82;6659808.88;4.836368;47.023915;entrée;;;BEAUNE;PLACE GENERAL LECLERC;commune;commune;1;21054000AB0081;d68caf73-2307-4e77-a0bb-ca31c471dd6d;dde0f008-e732-4c63-99b4-84cc1d0bf77e;be5af6b6-d2a6-451d-a94f-baf6604cc953;exist
