id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;type_position;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie;certification_commune;cad_parcelles;id_ban_adresse;id_ban_toponyme;id_ban_commune;status;distance_m;confiance;cad_prefixe;cad_section;cad_numero
83007_y4lqi0_00342;;342;;Quartier le Plan;83630;83007;Aups;;;957900.77;6286303.05;6.195537;43.628802;entrée;;;AUPS;QUARTIER LE PLAN;commune;commune;0;830070000G0422;de5ebdeb-f3b0-4074-b234-8a47ca05b2ec;4eee94db-1d04-4baa-a691-6db85f768a9a;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0G;0422
83007_0280_00011;83007_0280;11;;Rue Jules Philibert;83630;83007;Aups;;;960329.21;6286292.17;6.225588;43.627816;segment;;;AUPS;RUE JULES PHILIBERT;commune;commune;0;830070000I0718;de6fdb56-6e2c-4c36-871c-9c367e8ad703;76de06e1-11f0-4340-862b-135fff6d95d0;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0718
83007_0420_00049;83007_0420;49;;Montée des Moulins;83630;83007;Aups;;;960651.9;6286180.12;6.229525;43.62669;segment;;;AUPS;MONTEE DES MOULINS;commune;commune;0;830070000I1092;de7b936b-833c-4c5e-bf00-9b961db1a8ea;642efe58-7652-413a-b270-413f466595e6;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;1092
83007_0142_01863;83007_0142;1863;;Chemin de Fabregues;83630;83007;Aups;;;958099.83;6284697.95;6.197196;43.614299;entrée;;;AUPS;CHEMIN DE FABREGUES;commune;commune;0;830070000F0270;de9f1700-200a-4a7c-80e7-757a10d1da36;8b273ce4-6412-48a1-a5e8-7d6d4fd29255;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0F;0270
83007_0590_02896;83007_0590;2896;;Route de Tourtour;83630;83007;Aups;;;963152.22;6285301.19;6.26002;43.617864;segment;;;AUPS;ROUTE DE TOURTOUR;commune;commune;0;830070000C0665;dee2eea9-b2fb-454e-bc24-317eaf630e86;ecc20df4-ef2e-4b93-a566-e8d6eb1fe82f;223a7636-4cee-4367-9145-af7ceab2b45f;nearest;1.05;0.9;000;0C;0665
83007_0592_00422;83007_0592;422;;Chemin du Val de l’Aven;83630;83007;Aups;;;959615.43;6286308.53;6.216762;43.628225;segment;;;AUPS;CHEMIN DU VAL DE L AVEN;commune;commune;0;830070000G0756;deee5ba5-7d80-460a-9184-5ac4e292ee11;2bd9657c-1fb7-49a7-b70d-4c90a85d8abe;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0G;0756
83007_0020_00036;83007_0020;36;;Avenue Albert 1er;83630;83007;Aups;;;960180.17;6286625.67;6.223912;43.630869;entrée;;;AUPS;AVENUE ALBERT 1ER;commune;commune;0;830070000I0041;defe7caa-3232-43ec-b8df-a7b9263944ba;53ac0a46-12eb-4240-ad40-8d428b1b0308;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0041
83007_0410_00787;83007_0410;787;;Route de Moissac;83630;83007;Aups;;;959108.79;6286982.87;6.210831;43.634473;entrée;;;AUPS;ROUTE DE MOISSAC;commune;commune;0;830070000G1018;df1c8823-2a29-4483-8e14-30d247594f50;0b4138a3-4540-41ed-9520-6a3769ac741b;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0G;1018
83007_0065_00737;83007_0065;737;;Chemin du Cade;83630;83007;Aups;;;959094.21;6286380.19;6.210347;43.62906;entrée;;;AUPS;CHEMIN DU CADE;commune;commune;0;830070000G1394;df1ec142-d276-44a3-a0a9-c6aceb31034e;738a478b-b210-4714-84d8-bdb7a3e177ed;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0G;1394
83007_0100_00013;83007_0100;13;;Rue de l'Eglise;83630;83007;Aups;;;960322.95;6286307.04;6.225518;43.627952;entrée;;;AUPS;RUE DE L EGLISE;commune;commune;0;830070000I0413;df2fc725-55b5-4aac-852b-535a80a33ecb;b60a1a4c-1f74-45da-8244-0f9ff57cebb5;223a7636-4cee-4367-9145-af7ceab2b45f;within;0.0;1.0;000;0I;0413
