departement;nb_adresses;cad_exist;exist_ban_nb;exist_ban_pct;cad_ajoute;cad_manquant;cad_fallback;pct_matched;nb_parcelles_src;nb_parts;source_cadastre;ban_version;cadastre_version;temps_sec;temps_load_sec;temps_process_sec;debut;conf_1.0_nb;conf_1.0_pct;conf_0.9_nb;conf_0.9_pct;conf_0.75_nb;conf_0.75_pct;conf_0.5_nb;conf_0.5_pct;conf_0.25_nb;conf_0.25_pct;conf_0.0_nb;conf_0.0_pct
01;262088;89237;89237;34.05;172380;471;56626;99.82;1356714;2;geojson→parquet;2026-03-24;2023-01-01;140.21;101.08;19.44;2026-03-24 11:22:47;116127;44.31;53784;20.52;2469;0.94;0;0.0;0;0.0;471;0.18
02;250853;40622;40622;16.19;209458;773;138334;99.69;994239;2;geojson→parquet;2026-03-24;2023-01-01;89.93;58.14;19.75;2026-03-24 11:22:47;71287;28.42;133619;53.27;4552;1.81;0;0.0;0;0.0;773;0.31
03;192209;71284;71284;37.09;120646;279;56260;99.85;729089;1;geojson→parquet;2026-03-24;2023-01-01;85.82;57.89;11.22;2026-03-24 11:22:47;64455;33.53;54186;28.19;2005;1.04;0;0.0;0;0.0;279;0.15
04;103274;65476;65476;63.4;37706;92;5978;99.91;599038;1;geojson→parquet;2026-03-24;2023-01-01;67.58;45.05;5.16;2026-03-24 11:22:47;31791;30.78;5659;5.48;256;0.25;0;0.0;0;0.0;92;0.09
05;80876;66386;66386;82.08;14461;29;2652;99.96;840308;1;geojson→parquet;2026-03-24;2023-01-01;92.89;65.65;4.4;2026-03-24 11:22:47;11835;14.63;2532;3.13;94;0.12;0;0.0;0;0.0;29;0.04
06;219947;73629;73629;33.48;145948;370;65613;99.83;786710;2;geojson→parquet;2026-03-24;2023-01-01;117.31;75.36;15.76;2026-03-24 11:22:47;80559;36.63;63239;28.75;2150;0.98;0;0.0;0;0.0;370;0.17
07;197686;83095;83095;42.03;114394;197;29819;99.9;1283689;1;geojson→parquet;2026-03-24;2023-01-01;138.75;97.36;12.5;2026-03-24 11:22:47;84678;42.83;28625;14.48;1091;0.55;0;0.0;0;0.0;197;0.1
08;133064;27637;27637;20.77;99579;5848;55308;95.61;518816;1;geojson→parquet;2026-03-24;2023-01-01;48.89;36.05;9.94;2026-03-24 11:23:55;44314;33.3;48798;36.67;6467;4.86;0;0.0;0;0.0;5848;4.39
09;117331;53071;53071;45.23;64090;170;20880;99.86;1147811;1;geojson→parquet;2026-03-24;2023-01-01;103.35;90.37;7.18;2026-03-24 11:24:13;43233;36.85;19770;16.85;1087;0.93;0;0.0;0;0.0;170;0.14
10;148253;25906;25906;17.47;121584;763;67052;99.49;669207;1;geojson→parquet;2026-03-24;2023-01-01;60.23;47.36;9.58;2026-03-24 11:24:18;54619;36.84;63247;42.66;3718;2.51;0;0.0;0;0.0;763;0.51
